Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
K3 Sportmanagement GmbH;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=4578;16;8;-;€3.30m;€206k;-;-;-;-;-;-
D1MON1OS s.r.l. - avv. Filippo Pirisi;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5161;45;2;-;€3.26m;€72k;-;-;-;-;-;-
Tivansportmanagement;Iran;https://www.transfermarkt.com/berater/beraterfirma?id=12618;13;11;-;€3.25m;€250k;-;-;-;-;-;-
Garik Khachaturov;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=9232;5;2;-;€3.25m;€650k;-;-;-;-;-;-
Miroslav Bicanic;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=2003;17;6;-;€3.18m;€187k;-;-;-;-;-;-
Studio Assist & Partners;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=2827;39;-;-;€3.18m;€81k;-;-;-;-;-;-
Status Sport World S.L;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=9697;31;2;-;€3.10m;€100k;-;-;-;-;-;-
PASCUAL FERNANDO LEZCANO;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=6546;7;3;-;€3.08m;€439k;-;-;-;-;-;-
AK10 STARS;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=4841;15;4;-;€3.04m;€202k;-;-;-;-;-;-
Saber Sports Management E Real State Eireli;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11060;5;1;-;€3.00m;€600k;-;-;-;-;-;-
Fortitude Sports Management Int;Ireland;https://www.transfermarkt.com/berater/beraterfirma?id=6728;5;-;-;€2.95m;€590k;-;-;-;-;-;-
KM International Agent;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=12229;110;21;-;€2.93m;€27k;-;-;-;-;-;-
IDEaLSoccer69;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=11925;5;1;-;€2.93m;€585k;-;-;-;-;-;-
ML Sports;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=11711;9;5;-;€2.88m;€319k;-;-;-;-;-;-
International Onside Group Sports;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=12295;35;4;-;€2.85m;€81k;-;-;-;-;-;-
NEWROFOOT SPORTS MANAGEMENT LDA;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=2651;15;2;1;€2.80m;€187k;-;-;-;-;-;-
We4You;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10891;15;3;-;€2.78m;€185k;-;-;-;-;-;-
37 Sport Management Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9642;14;-;-;€2.70m;€193k;-;-;-;-;-;-
Alpha Football Agency S.R.O;Slovakia;https://www.transfermarkt.com/berater/beraterfirma?id=10052;26;5;-;€2.63m;€101k;-;-;-;-;-;-
Tactic agency;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=11038;15;10;-;€2.60m;€173k;-;-;-;-;-;-
MP Football Scouting;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=9317;93;-;-;€2.56m;€27k;-;-;-;-;-;-
CENTRAL Agencia Deportiva S.A.S;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=6061;9;4;-;€2.55m;€283k;-;-;-;-;-;-
A2SPORTSMANAGEMENT;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=7383;19;8;-;€2.30m;€121k;-;-;-;-;-;-
K&K Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=9168;19;1;-;€2.25m;€118k;-;-;-;-;-;-
Fifteen Eleven Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4271;32;2;-;€2.20m;€69k;-;-;-;-;-;-
KCG SPORTING MANAGEMENT LTD;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=7923;12;5;-;€2.14m;€178k;-;-;-;-;-;-
Luso Africa Player Management;South Africa;https://www.transfermarkt.com/berater/beraterfirma?id=3893;28;5;-;€2.10m;€75k;-;-;-;-;-;-
Tribüne Sportagentur;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=1647;20;1;-;€2.10m;€105k;-;-;-;-;-;-
GOAL Sports Agency;Thailand;https://www.transfermarkt.com/berater/beraterfirma?id=6010;58;13;-;€2.00m;€34k;-;-;-;-;-;-
Nussi Foundation;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=3795;8;4;-;€2.00m;€250k;-;-;-;-;-;-
Zmiya s.r.o;Czech Republic;https://www.transfermarkt.com/berater/beraterfirma?id=4487;13;4;-;€2.00m;€153k;-;-;-;-;-;-
Serial Sport SA;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=8626;12;2;-;€1.90m;€158k;-;-;-;-;-;-
Foco Rosario;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=11665;5;3;1;€1.86m;€372k;-;-;-;-;-;-
Total Football Sport Manager;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=2726;133;9;-;€1.86m;€14k;-;-;-;-;-;-
Foot Marketing & Consulting;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=7016;84;6;-;€1.85m;€22k;-;-;-;-;-;-
All About Football;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=11059;6;2;-;€1.85m;€308k;-;-;-;-;-;-
SC3 Football Management;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=4001;16;3;-;€1.79m;€112k;-;-;-;-;-;-
Advance Sports Brazil;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10744;28;7;-;€1.78m;€63k;-;-;-;-;-;-
Starboy Sports Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=10880;7;2;-;€1.78m;€254k;-;-;-;-;-;-
WM SPORTS CONSEILS;France;https://www.transfermarkt.com/berater/beraterfirma?id=11889;18;2;-;€1.75m;€97k;-;-;-;-;-;-
Impression Sports Management;India;https://www.transfermarkt.com/berater/beraterfirma?id=10958;33;10;10;€1.73m;€52k;-;-;-;-;-;-
Tecasport & Management;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=12724;17;1;-;€1.73m;€101k;-;-;-;-;-;-
Marcel Kacinari;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=1581;13;4;-;€1.63m;€125k;-;-;-;-;-;-
International Alliances;Australia;https://www.transfermarkt.com/berater/beraterfirma?id=5646;9;8;-;€1.60m;€178k;-;-;-;-;-;-
SportySpain;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=8054;30;1;-;€1.60m;€53k;-;-;-;-;-;-
Aram Zinouzi;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3195;12;7;-;€1.55m;€129k;-;-;-;-;-;-
KING AGENCY Sports Management;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=10040;22;1;-;€1.48m;€67k;-;-;-;-;-;-
Alvesesportes;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10395;19;5;-;€1.45m;€76k;-;-;-;-;-;-
Catenaccio Sport Agency;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=5192;9;5;-;€1.45m;€161k;-;-;-;-;-;-
Pharos Sport Agency;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=1358;5;3;-;€1.40m;€280k;-;-;-;-;-;-
JEP Sports Management;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3963;90;3;-;€1.39m;€15k;-;-;-;-;-;-
MADRID SOCCER REVOLUTION SL;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5888;20;6;-;€1.37m;€69k;-;-;-;-;-;-
Connect Management S.A.S;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=10933;11;3;-;€1.35m;€123k;KR25 #1SUR-155, Oficina753;050021, Medellin;5,73137E+11;;deivysmarth@gmail.com;
Pavol Pronaj;Slovakia;https://www.transfermarkt.com/berater/beraterfirma?id=10413;21;6;-;€1.33m;€63k;-;-;-;-;-;-
AGENTFORPLAYERS.COM;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=6746;22;4;-;€1.28m;€58k;-;-;-;-;-;-
MM-management11;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=7579;6;4;-;€1.23m;€204k;-;-;-;-;-;-
PD SportManagement d.o.o.;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=5777;11;4;-;€1.23m;€111k;-;-;-;-;-;-
Oracle Sports Management;Australia;https://www.transfermarkt.com/berater/beraterfirma?id=3267;4;3;-;€1.23m;€306k;-;-;-;-;-;-
TOP TEAM D.P.;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=9938;10;1;-;€1.20m;€120k;-;-;-;-;-;-
Carlos Alberto Yaque;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=10836;2;1;-;€1.13m;€563k;-;-;-;-;-;-
KY PRO&SPORTS;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=11612;18;10;-;€1.10m;€61k;-;-;-;-;-;-
Armor Sport Management;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=10611;12;4;-;€1.10m;€92k;-;-;-;-;-;-
ProTalent Consulting & Management;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=8048;15;2;-;€1.05m;€70k;-;-;-;-;-;-
OKON Management;Andorra;https://www.transfermarkt.com/berater/beraterfirma?id=10404;5;-;-;€1.05m;€210k;-;-;-;-;-;-
Tzvi Kritzer;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=12849;5;3;-;€1.03m;€205k;-;-;-;-;-;-
SEM Management;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=5881;10;2;-;€1.00m;€100k;-;-;-;-;-;-
FA SPORTS SPA;Chile;https://www.transfermarkt.com/berater/beraterfirma?id=10147;1;1;-;€1.00m;€1.00m;-;-;-;-;-;-
Everest Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=10175;2;-;-;€1.00m;€500k;-;-;-;-;-;-
KS Management Sport;Macedonia;https://www.transfermarkt.com/berater/beraterfirma?id=6734;6;4;-;€975k;€163k;-;-;-;-;-;-
GOLDEN GOAL MNE;Montenegro;https://www.transfermarkt.com/berater/beraterfirma?id=7204;20;2;-;€960k;€48k;-;-;-;-;-;-
Tomislav Zivko;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=7888;2;1;-;€950k;€475k;-;-;-;-;-;-
Sportspro Malta;Malta;https://www.transfermarkt.com/berater/beraterfirma?id=11886;9;4;-;€900k;€100k;-;-;-;-;sportspromalta@gmail.com;-
Majstro Sports;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=4581;48;2;-;€900k;€19k;-;-;-;-;-;-
PROMO INTERNATIONAL GROUP;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=6130;8;2;-;€825k;€103k;-;-;-;-;-;-
juliano de carvalho davila - me;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=5617;7;2;-;€775k;€111k;-;-;-;-;-;-
ProConnect Soccer;United States;https://www.transfermarkt.com/berater/beraterfirma?id=5573;18;2;-;€750k;€42k;-;-;-;-;-;-
AG Sports Management;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10279;17;1;-;€750k;€44k;-;-;-;-;-;-
Real Player Scouting;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=8987;15;1;-;€745k;€50k;-;-;-;-;-;-
IN Sports;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=12186;4;3;-;€725k;€181k;-;-;-;-;-;-
ELIS HADZIC;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6313;3;3;-;€700k;€233k;-;-;-;-;-;-
Vsible;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=6652;5;2;-;€700k;€140k;-;-;-;-;-;-
34 Football Management;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11972;11;-;-;€700k;€64k;-;-;-;-;-;-
MCM Sport Agency LLP;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8990;12;4;-;€675k;€56k;-;-;-;-;-;-
Stars Like Us;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4958;8;1;-;€650k;€81k;-;-;-;-;-;-
DUKIC SPORT AGENCY;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=5961;11;4;-;€610k;€55k;-;-;-;-;-;-
Bond MG;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=8533;1;-;-;€600k;€600k;-;-;-;-;-;-
PES FOOTBALL AGENCY;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4040;30;5;-;€560k;€19k;-;-;-;-;-;-
C.T.C;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=9969;6;2;-;€560k;€93k;-;-;-;-;-;-
BBV El Ghoul-Sport Agentur;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1643;9;1;-;€550k;€61k;-;-;-;-;-;-
Cristian Dueñas;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=12880;1;1;-;€550k;€550k;-;-;-;-;-;-
The Soccer Agent AS;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=9049;29;3;-;€485k;€17k;-;-;-;-;-;-
Soccer 66;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=12872;4;3;-;€450k;€113k;-;-;-;-;-;-
BTS Sport;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11688;4;-;-;€450k;€113k;-;-;-;-;-;-
Tendure Agency;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=12114;9;2;-;€425k;€47k;-;-;-;-;-;-
Mazran Sports Agency;Malaysia;https://www.transfermarkt.com/berater/beraterfirma?id=6451;17;1;-;€425k;€25k;-;-;-;-;-;-
DERBY SPORTS ONE;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7489;12;1;-;€425k;€35k;-;-;-;-;-;-
Fuori Dal Campo;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=10575;14;-;-;€425k;€30k;-;-;-;-;-;-
Gian Luca Bagni;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3516;10;-;-;€425k;€43k;-;-;-;-;-;-
Radar Management UK;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9768;7;2;-;€410k;€59k;-;-;-;-;-;-
Dieter Langhans;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=146;3;1;-;€410k;€137k;-;-;-;-;-;-
SohaSport's;India;https://www.transfermarkt.com/berater/beraterfirma?id=7241;33;1;-;€400k;€12k;-;-;-;-;-;-
GBS Group (International);United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=2315;3;1;1;€400k;€133k;-;-;-;-;-;-
Kristijan Pervan;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=5277;21;1;-;€360k;€17k;-;-;-;-;-;-
UNIVERSUM CONSULTING;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=11699;6;1;-;€360k;€60k;-;-;-;-;-;-
All Conti Sports Media Ltd.;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=10997;6;3;-;€350k;€58k;Parmova ulica 22;1000, Ljubljana;38641679357;;-;www.allcontisports.com
Forum Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=10648;8;2;-;€350k;€44k;-;-;-;-;-;-
V Agency KFT;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=10814;6;1;-;€350k;€58k;Fő út 46.;2330, Dunaharaszti;-;-;info@vagency.hu;vagency.hu
STAR 2U;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=11382;2;1;-;€350k;€175k;-;-;-;-;-;-
Onefootball;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=9887;9;1;-;€350k;€39k;-;-;-;-;-;-
Sports management bureau;Lebanon;https://www.transfermarkt.com/berater/beraterfirma?id=8835;3;1;-;€350k;€117k;-;-;-;-;-;-
Jurica Vranjes;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=9001;4;1;-;€325k;€81k;-;-;-;-;-;-
ILC Sports Brasil Management LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7913;3;1;-;€325k;€108k;-;-;-;-;-;-
Loyal Kick;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=5579;14;1;-;€325k;€23k;-;-;-;-;-;-
Leonel Skrobacki;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=12106;7;-;3;€325k;€46k;-;-;-;-;-;-
Focco Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9123;8;3;-;€310k;€39k;;;;;;
Golden Trail Sports Management;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10249;2;1;-;€300k;€150k;-;-;-;-;-;-
PG SPORTS VIP LIMITED;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=8462;4;1;-;€300k;€75k;-;-;-;-;-;-
MF Sports Assessoria Esportiva;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9693;4;-;-;€300k;€75k;-;-;-;-;-;-
Falsenine;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4438;2;-;-;€300k;€150k;-;-;-;-;-;-
Team Anchor;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=11832;1;-;-;€300k;€300k;-;-;-;-;-;-
Prestige Sports Management;United States;https://www.transfermarkt.com/berater/beraterfirma?id=7502;4;-;-;€300k;€75k;-;-;-;-;-;-
United Globe Sports Agency;Singapore;https://www.transfermarkt.com/berater/beraterfirma?id=6107;8;2;-;€285k;€36k;-;-;-;-;-;-
Futbol Nation Sportsmanagement - FutNat.com;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5156;59;2;-;€275k;€5k;-;-;-;-;-;-
Luso Gest;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8621;16;2;-;€275k;€17k;-;-;-;-;-;-
INTERNATIONAL SCOUTING OFFICE;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=11264;8;1;-;€275k;€34k;-;-;-;-;-;-
JBR Sports Consulting;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=10527;2;1;-;€275k;€138k;-;-;-;-;-;-
Olizurifootballagent;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9862;1;1;-;€275k;€275k;-;-;-;-;-;-
TS Global Soccer;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=10409;16;1;-;€265k;€17k;-;-;-;-;-;-
Take Risks Sports Agency;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=12612;29;2;-;€260k;€9k;-;-;-;-;-;-
Neos Sports Consulting GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=7994;6;-;-;€260k;€43k;-;-;-;-;-;-
Dribble Soccer Management;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=8895;6;2;-;€250k;€42k;-;-;-;-;-;-
SMI;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=2267;5;-;-;€250k;€50k;-;-;-;-;-;-
StarKick;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=569;33;2;1;€235k;€7k;-;-;-;-;-;-
Complete-Sports-Group-Croatia;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=11874;5;1;-;€235k;€47k;-;-;-;-;-;-
Absolute Football Consultancy Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5151;8;1;-;€225k;€28k;-;-;-;-;-;-
Boris Bališ;Slovakia;https://www.transfermarkt.com/berater/beraterfirma?id=8622;11;-;-;€225k;€20k;-;-;-;-;-;-
Athletes Today Sports Management Pvt. Ltd.;India;https://www.transfermarkt.com/berater/beraterfirma?id=7292;10;3;-;€200k;€20k;-;-;-;-;-;-
O11ZE FOOTBALL;Saudi Arabia;https://www.transfermarkt.com/berater/beraterfirma?id=12771;1;1;-;€200k;€200k;-;-;-;-;-;-
Alex Global Sports;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=10126;10;1;-;€200k;€20k;-;-;-;-;-;-
Bridge Sports;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=9499;8;1;-;€200k;€25k;-;-;-;-;-;-
Alexander Guedes;United States;https://www.transfermarkt.com/berater/beraterfirma?id=11307;1;1;-;€200k;€200k;-;-;-;-;-;-
Dmitriy Stoyakin;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=6669;3;1;-;€200k;€67k;-;-;-;-;-;-
BALL - IN Scout & Agency;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=5945;3;1;-;€200k;€67k;-;-;-;-;-;-
Bekeffy Football Consulting Kft;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=6110;21;1;-;€200k;€10k;-;-;-;-;-;-
KWM Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8410;4;1;-;€200k;€50k;-;-;-;-;-;-
GB Sports Agency;Venezuela;https://www.transfermarkt.com/berater/beraterfirma?id=8838;1;1;-;€200k;€200k;-;-;-;-;-;-
STAM SPORTS INTERNATIONAL;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=4267;2;1;-;€200k;€100k;-;-;-;-;-;-
INTEAMSPORTS;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2181;1;-;-;€200k;€200k;-;-;-;-;-;-
Gol Management Group;United States;https://www.transfermarkt.com/berater/beraterfirma?id=5905;1;-;-;€200k;€200k;-;-;-;-;-;-
Studio Legale Sosa Di Giacomo;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=7060;23;-;-;€200k;€9k;-;-;-;-;-;-
366 Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6040;13;-;-;€200k;€15k;-;-;-;-;-;-
Silver Sport Manager;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6062;27;-;-;€200k;€7k;-;-;-;-;-;-
Y2M Foot Agency;France;https://www.transfermarkt.com/berater/beraterfirma?id=12189;5;2;-;€185k;€37k;-;-;-;-;-;-
Stefan Jansen;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11393;2;-;-;€175k;€88k;-;-;-;-;-;-
Agentum;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=9669;8;-;-;€175k;€22k;-;-;-;-;-;-
Trinity 3 Agency;United States;https://www.transfermarkt.com/berater/beraterfirma?id=7120;3;-;-;€175k;€58k;-;-;-;-;-;-
TT Sportsmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4007;5;-;-;€175k;€35k;-;-;-;-;-;-
Tree Soccer;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12901;10;-;-;€175k;€18k;-;-;-;-;-;-
MHV Sports;DR Congo;https://www.transfermarkt.com/berater/beraterfirma?id=6857;27;-;-;€175k;€6k;-;-;-;-;-;-
MP Group;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=12814;3;-;-;€175k;€58k;-;-;-;-;-;-
Pro Soccer Football Agency;UdSSR;https://www.transfermarkt.com/berater/beraterfirma?id=9886;16;1;-;€160k;€10k;-;-;-;-;-;-
SCSA Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8281;17;2;-;€150k;€9k;-;-;-;-;-;-
Go 4 Sports AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=1546;2;1;-;€150k;€75k;-;-;-;-;-;-
Id Sports;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=6968;2;-;-;€150k;€75k;-;-;-;-;-;-
Antbar Sports Spain;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4039;6;-;-;€150k;€25k;-;-;-;-;-;-
TRIJAWA Sports Consulting GbR;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3801;18;-;-;€150k;€8k;-;-;-;-;-;-
The Streak;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=12391;7;-;-;€135k;€19k;-;Vicenza;-;-;contact@thestreak.agency;thestreak.agency
DP Sport Agency;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=8463;6;-;-;€125k;€21k;-;-;-;-;-;-
Goal2Career;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=288;9;1;-;€100k;€11k;-;-;-;-;-;-
I & D GLOBAL SPORTS MANAGEMENT;United States;https://www.transfermarkt.com/berater/beraterfirma?id=6772;3;1;-;€100k;€33k;-;-;-;-;-;-
The Wonder Soccer;France;https://www.transfermarkt.com/berater/beraterfirma?id=11461;2;1;-;€100k;€50k;-;-;-;-;-;-
Vitruvian Player srl;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=7463;3;-;-;€100k;€33k;-;-;-;-;-;-
Sinteticbool Esportes;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12443;1;-;-;€100k;€100k;-;-;-;-;-;-
E&Z Soccer Players;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=7972;6;-;-;€100k;€17k;-;-;-;-;-;-
RawScout;India;https://www.transfermarkt.com/berater/beraterfirma?id=11717;40;-;1;€85k;€2k;-;-;-;-;-;-
SISports;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=8931;5;1;-;€75k;€15k;-;-;-;-;-;-
ADC The Players' Agency;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=9264;3;1;-;€75k;€25k;-;-;-;-;-;-
George Kolovos;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=4873;3;-;-;€75k;€25k;-;-;-;-;-;-
Elite Home Team LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=6920;2;2;-;€50k;€25k;-;-;-;-;-;-
33 Football Consult;Ghana;https://www.transfermarkt.com/berater/beraterfirma?id=11949;1;1;-;€50k;€50k;-;-;-;-;-;-
Ante International;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=7902;9;1;-;€50k;€6k;-;-;-;-;-;-
Talent Academy Pro;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=10011;1;-;-;€50k;€50k;-;-;-;-;-;-
Infomercato luxembourg;France;https://www.transfermarkt.com/berater/beraterfirma?id=11920;43;3;-;€30k;€1k;-;-;-;-;-;-
Va Management Sport;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=12903;1;1;-;€25k;€25k;-;-;-;-;-;-
Sportska agencija M.C. d.o.o.;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=10732;2;-;-;€25k;€13k;-;-;-;-;-;-
Dieter Meinhold network;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3652;3;-;-;€25k;€8k;-;-;-;-;-;-
New Age Sport Management Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=3593;2;-;-;€25k;€13k;-;-;-;-;-;-
Mars 13 Agency;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7024;14;-;-;€25k;€2k;-;-;-;-;-;-
Loibl Law / LawNSport;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=6796;2;-;-;€25k;€13k;-;-;-;-;-;-
Afram Football;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=10683;15;-;-;€25k;€2k;-;-;-;-;-;-
LK26 Football Management;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=4628;2;-;-;€25k;€13k;-;-;-;-;-;-
Fair Play Sport Agency doo;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=8836;1;1;-;€10k;€10k;-;-;-;-;-;-
Orlando Popa;Romania;https://www.transfermarkt.com/berater/beraterfirma?id=9450;4;-;-;€10k;€3k;-;-;-;-;-;-
Dedisklein Nickolay;Belarus;https://www.transfermarkt.com/berater/beraterfirma?id=9158;21;-;-;€10k;€0k;-;-;-;-;-;-
T.F.B. - TimeForBusiness;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=6023;-;-;-;-;-;-;-;-;-;-;-
